Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 76.0122475 dB SPL
7493,74.6001376,74.5751038,No Data,No Data,27.277423,-54.1494118,
7579,74.1028062,74.0757338,No Data,No Data,27.7767928,-51.7012266,
7665,73.630536,73.6033598,No Data,No Data,28.2491666,-52.41588,
7751,73.1995958,73.1677046,No Data,No Data,28.6848222,-50.7125512,
7837,72.9792174,72.9532606,No Data,No Data,28.899266,-49.6316504,
7923,72.5761276,72.5470442,No Data,No Data,29.3054824,-48.2170266,
8009,72.176448,72.1383362,No Data,No Data,29.7141908,-51.841565,
8095,71.80401,71.772705,No Data,No Data,30.0798218,-49.8633622,
8181,71.445404,71.4054522,No Data,No Data,30.4470748,-48.2974752,
8267,71.2792724,71.2482742,No Data,No Data,30.6042524,-51.793731,
8353,70.9717836,70.9435058,No Data,No Data,30.909021,-56.7861814,
8439,70.6833176,70.6466034,No Data,No Data,31.2059234,-56.19859,
8525,70.4222442,70.3903262,No Data,No Data,31.462201,-50.7732492,
8611,70.1202758,70.0867754,No Data,No Data,31.7657516,-51.9018798,
8697,69.9882368,69.9492736,No Data,No Data,31.903253,-48.8740654,
8783,69.7092788,69.6538986,No Data,No Data,32.1986282,-48.1573394,
8869,69.4418518,69.3921494,No Data,No Data,32.4603776,-46.484385,
8955,69.2066164,69.1530516,No Data,No Data,32.6994752,-48.4716044,
9041,68.978891,68.9333924,No Data,No Data,32.9191344,-49.608,
9127,68.8853472,68.8347596,No Data,No Data,33.0177672,-46.3223198,
9213,68.6755538,68.6165742,No Data,No Data,33.235953,-44.7986402,
9299,68.504811,68.4715514,No Data,No Data,33.3809754,-50.71686,
9385,68.3570604,68.2993362,No Data,No Data,33.5531906,-48.9580208,
9471,68.2267442,68.1653274,No Data,No Data,33.6871994,-49.1721024,
9557,68.171707,68.093933,No Data,No Data,33.7585938,-50.9719942,
9643,68.049385,67.9976396,No Data,No Data,33.8548872,-51.4143448,
9729,67.9704498,67.9157304,No Data,No Data,33.9367964,-48.5057676,
9815,67.893596,67.8295012,No Data,No Data,34.0230254,-49.3248908,
9901,67.8501742,67.8072282,No Data,No Data,34.045299,-48.5975106,
9987,67.8584134,67.8133864,No Data,No Data,34.0391402,-48.5744576,
10073,67.8231506,67.7586564,No Data,No Data,34.0938704,-45.7857932,
10159,67.8285432,67.7556488,No Data,No Data,34.0968782,-46.0596824,
10245,67.842247,67.7975296,No Data,No Data,34.0549972,-47.1784674,
10331,67.909082,67.8454742,No Data,No Data,34.0070528,-47.9494734,
10417,67.9318984,67.8776336,No Data,No Data,33.9748932,-47.1252266,
10503,68.0008254,67.9461944,No Data,No Data,33.9063324,-47.7652954,
10589,68.070668,68.0139556,No Data,No Data,33.8385712,-51.135581,
10675,68.1682786,68.1084728,No Data,No Data,33.7440536,-47.9669618,
10761,68.2770174,68.2154142,No Data,No Data,33.6371124,-50.9724854,
10847,68.3320542,68.2626098,No Data,No Data,33.589917,-48.7940186,
10933,68.398842,68.3448026,No Data,No Data,33.507724,-49.174568,
11019,68.5056304,68.454236,No Data,No Data,33.398291,-48.5662972,
11105,68.5767424,68.5312302,No Data,No Data,33.3212968,-47.5726928,
11191,68.6363008,68.5881638,No Data,No Data,33.2643632,-48.6216774,
11277,68.6383344,68.6026382,No Data,No Data,33.2498886,-47.3612236,
11363,68.679425,68.6361036,No Data,No Data,33.216423,-51.0673836,
11449,68.6902284,68.6485306,No Data,No Data,33.2039962,-48.8876878,
11535,68.7125124,68.6557858,No Data,No Data,33.1967408,-48.3465928,
11621,68.709166,68.6519194,No Data,No Data,33.2006074,-53.1563988,
11707,68.6228608,68.5692322,No Data,No Data,33.2832946,-50.0267008,
11793,68.3613006,68.2906846,No Data,No Data,33.5618422,-52.0315926,
11879,67.5098664,67.407219,No Data,No Data,34.4453078,-49.7096692,
11965,67.0326584,66.9098416,No Data,No Data,34.942685,-48.7467636,
12051,66.931018,66.5987776,No Data,No Data,35.2537492,-49.0593972,
12137,66.3994248,66.2323488,No Data,No Data,35.6201782,-47.9299432,
12223,66.163968,66.0655108,No Data,No Data,35.7870162,-100,
12309,65.7805786,65.686844,No Data,No Data,36.165683,-100,
12395,65.4039888,65.3147722,No Data,No Data,36.5377546,-100,
12481,65.008992,64.9242316,No Data,No Data,36.9282952,-100,
12567,64.6212388,64.5084022,No Data,No Data,37.3441246,-100,
12653,64.410502,64.308677,No Data,No Data,37.54385,-100,
12739,64.0283232,63.9151498,No Data,No Data,37.9373772,-100,
12825,63.6863198,63.5600624,No Data,No Data,38.2924646,-100,
12911,63.2939126,63.1884092,No Data,No Data,38.6641176,-100,
12997,62.955355,62.8525292,No Data,No Data,38.9999976,-100,
