Frequency,Time (dB SPL),FFT (dB SPL),Calibrated Time (dB SPL),Calibrated FFT (dB SPL),Normalization (dB SPL),THD,TestSignal 0.1V=96.5dB SPL
7192,71.61261,71.4924,No Data, No Data,24.99599,-67.5589,
7235,71.5601,71.2756,No Data, No Data,25.21286,-65.2217,
7278,71.06677,70.864,No Data, No Data,25.62443,-64.3358,
7321,70.66294,70.4639,No Data, No Data,26.02457,-63.9361,
7364,70.36449,70.0719,No Data, No Data,26.41653,-69.1035,
7407,70.02271,69.6877,No Data, No Data,26.80068,-62.1955,
7450,69.80175,69.5069,No Data, No Data,26.98152,-61.2891,
7493,69.43652,69.1435,No Data, No Data,27.34492,-61.8098,
7536,69.09842,68.7921,No Data, No Data,27.69633,-61.1397,
7579,68.87235,68.4525,No Data, No Data,28.03593,-60.5948,
7622,68.61383,68.1234,No Data, No Data,28.36504,-61.3728,
7665,68.4035,67.9565,No Data, No Data,28.53193,-58.4165,
7708,68.31543,67.64,No Data, No Data,28.84842,-58.2024,
7751,68.18655,67.3365,No Data, No Data,29.15193,-56.1654,
7794,67.66708,67.0397,No Data, No Data,29.44875,-61.8987,
7837,67.71175,66.75,No Data, No Data,29.73846,-63.149,
7880,66.98249,66.4666,No Data, No Data,30.02178,-59.5089,
7923,66.94107,66.3332,No Data, No Data,30.15518,-60.7971,
7966,67.05711,66.0679,No Data, No Data,30.42053,-59.1204,
8009,66.37171,65.8109,No Data, No Data,30.67756,-64.0008,
8052,66.18634,65.5674,No Data, No Data,30.92099,-59.9675,
8095,66.30222,65.3308,No Data, No Data,31.15759,-59.5024,
8138,65.78766,65.211,No Data, No Data,31.27741,-62.9619,
8181,65.93503,65.0087,No Data, No Data,31.47975,-58.8439,
8224,66.05729,64.7956,No Data, No Data,31.69281,-61.8491,
8267,65.51759,64.6005,No Data, No Data,31.88792,-61.3672,
8310,65.97102,64.4196,No Data, No Data,32.06882,-58.7288,
8353,65.78854,64.3385,No Data, No Data,32.14997,-61.5011,
8396,65.30122,64.1873,No Data, No Data,32.30112,-60.2791,
8439,65.42073,64.0388,No Data, No Data,32.44965,-54.1538,
8482,65.13683,63.9146,No Data, No Data,32.5738,-59.7084,
8525,64.6966,63.7931,No Data, No Data,32.69537,-54.2655,
8568,64.72568,63.7426,No Data, No Data,32.74584,-55.9441,
8611,64.37918,63.6389,No Data, No Data,32.8495,-56.2766,
8654,64.56825,63.5724,No Data, No Data,32.91598,-53.8036,
8697,65.2563,63.4982,No Data, No Data,32.99028,-52.2571,
8740,64.17381,63.4415,No Data, No Data,33.04694,-59.9194,
8783,64.63502,63.415,No Data, No Data,33.07344,-57.1663,
8826,64.33701,63.3808,No Data, No Data,33.10764,-54.7731,
8869,64.35959,63.3494,No Data, No Data,33.13898,-58.5318,
8912,64.01911,63.3227,No Data, No Data,33.16572,-57.7946,
8955,64.49187,63.3089,No Data, No Data,33.17951,-58.294,
8998,64.08225,63.3013,No Data, No Data,33.18712,-62.0776,
9041,64.79765,63.2859,No Data, No Data,33.20258,-60.5689,
9084,65.29007,63.2764,No Data, No Data,33.21206,-63.4826,
9127,65.11212,63.2833,No Data, No Data,33.20516,-63.5016,
9170,64.22418,63.3043,No Data, No Data,33.18411,-58.1084,
9213,64.81253,63.3118,No Data, No Data,33.17665,-57.3699,
9256,64.43943,63.331,No Data, No Data,33.15738,-56.5541,
9299,64.82191,63.3629,No Data, No Data,33.12557,-57.6254,
9342,64.51628,63.4046,No Data, No Data,33.0838,-58.3462,
9385,64.82042,63.4334,No Data, No Data,33.05506,-53.5795,
9428,64.77152,63.4494,No Data, No Data,33.03902,-53.9317,
9471,64.48488,63.4965,No Data, No Data,32.99194,-54.565,
9514,64.17773,63.5,No Data, No Data,32.98844,-51.4397,
9557,64.66721,63.5061,No Data, No Data,32.98231,-58.5048,
9600,65.07439,63.4755,No Data, No Data,33.01288,-55.0436,
9643,64.68922,63.4556,No Data, No Data,33.03284,-53.7405,
9686,64.24832,63.3995,No Data, No Data,33.08897,-69.5566,
9729,64.98367,63.3068,No Data, No Data,33.18166,-53.8583,
9772,65.45309,63.2016,No Data, No Data,33.28678,-61.747,
9815,64.53048,63.0787,No Data, No Data,33.40975,-56.0057,
9858,64.90498,63.0093,No Data, No Data,33.47909,-59.4398,
9901,64.12037,62.8736,No Data, No Data,33.61479,-60.2565,
9944,63.60434,62.7339,No Data, No Data,33.7545,-56.8702,
9987,64.19498,62.5874,No Data, No Data,33.901,-60.1619,
10030,63.82301,62.4459,No Data, No Data,34.04257,-65.5198,
10073,64.07419,62.3668,No Data, No Data,34.12158,-58.9695,
10116,63.7123,62.2252,No Data, No Data,34.26327,-54.8187,
10159,63.50605,62.1071,No Data, No Data,34.38137,-55.7312,
10202,64.14736,61.9782,No Data, No Data,34.5102,-61.8208,
10245,63.65368,61.8642,No Data, No Data,34.62425,-56.6693,
10288,62.95885,61.7629,No Data, No Data,34.72556,-62.4573,
10331,63.95438,61.727,No Data, No Data,34.76147,-57.17,
10374,63.44714,61.6275,No Data, No Data,34.86093,-54.5825,
10417,65.08209,61.571,No Data, No Data,34.91738,-53.0384,
10460,65.96148,61.5077,No Data, No Data,34.9807,-57.3585,
10503,64.63529,61.4703,No Data, No Data,35.01814,-52.5369,
10546,65.34283,61.4421,No Data, No Data,35.04631,-55.5642,
10589,65.95483,61.4059,No Data, No Data,35.08252,-52.4173,
10632,65.39226,61.3888,No Data, No Data,35.09964,-56.3324,
10675,64.26221,61.3661,No Data, No Data,35.12233,-51.3244,
10718,64.25355,61.343,No Data, No Data,35.14547,-64.7477,
10761,62.97821,61.3513,No Data, No Data,35.1371,-59.5599,
10804,63.2394,61.3314,No Data, No Data,35.15704,-57.0482,
10847,62.54675,61.3148,No Data, No Data,35.17362,-58.5357,
10890,64.33494,61.3039,No Data, No Data,35.18456,-65.482,
10933,64.1643,61.305,No Data, No Data,35.18346,-62.8813,
10976,63.5609,61.293,No Data, No Data,35.1954,-59.6782,
11019,64.54859,61.273,No Data, No Data,35.21547,-60.361,
11062,63.08699,61.2763,No Data, No Data,35.21208,-66.5865,
11105,64.118,61.2786,No Data, No Data,35.20987,-65.7687,
11148,62.6451,61.2637,No Data, No Data,35.22474,-53.0458,
11191,62.94796,61.2504,No Data, No Data,35.23798,-53.4071,
11234,63.78941,61.2688,No Data, No Data,35.21966,-52.8379,
11277,63.31052,61.2654,No Data, No Data,35.22299,-51.9936,
11320,63.0687,61.2803,No Data, No Data,35.20816,-52.9619,
11363,63.19763,61.3194,No Data, No Data,35.16902,-54.8562,
11406,62.88372,61.3156,No Data, No Data,35.1728,-56.9078,
11449,62.52419,61.3316,No Data, No Data,35.15683,-57.2978,
11492,64.26471,61.3493,No Data, No Data,35.13912,-57.6606,
11535,64.40932,61.3718,No Data, No Data,35.11665,-58.7986,
11578,63.19199,61.4217,No Data, No Data,35.06677,-60.0029,
11621,63.19189,61.4727,No Data, No Data,35.01577,-57.6141,
11664,62.90621,61.6277,No Data, No Data,34.86076,-60.895,
11707,64.51937,61.9299,No Data, No Data,34.5585,-55.8878,
11750,65.41828,62.3923,No Data, No Data,34.09611,-52.8567,
11793,64.39225,62.7564,No Data, No Data,33.73201,-58.4514,
11836,64.1655,62.8302,No Data, No Data,33.65826,-60.3334,
11879,64.44039,62.782,No Data, No Data,33.7064,-60.0276,
11922,63.85306,62.67,No Data, No Data,33.81846,-57.3241,
11965,65.08211,62.5661,No Data, No Data,33.92228,-58.1775,
12008,64.43583,62.4972,No Data, No Data,33.99126,-59.8886,
12051,64.8769,62.4894,No Data, No Data,33.99903,-55.71,
12094,65.76818,62.4613,No Data, No Data,34.02711,-66.3858,
12137,65.24385,62.461,No Data, No Data,34.02741,-57.2209,
12180,64.96909,62.466,No Data, No Data,34.0224,-57.8468,
12223,63.89108,62.4825,No Data, No Data,34.00597,-100,
12266,64.26552,62.4993,No Data, No Data,33.9891,-100,
12309,63.66513,62.5283,No Data, No Data,33.96013,-100,
12352,64.02359,62.5635,No Data, No Data,33.92495,-100,
12395,63.77881,62.6128,No Data, No Data,33.87564,-100,
12438,63.546,62.6604,No Data, No Data,33.82806,-100,
12481,64.39009,62.6924,No Data, No Data,33.79603,-100,
12524,64.03494,62.7418,No Data, No Data,33.7466,-100,
12567,65.18305,62.8064,No Data, No Data,33.68205,-100,
12610,63.83833,62.8482,No Data, No Data,33.64023,-100,
12653,64.30096,62.9279,No Data, No Data,33.56056,-100,
12696,64.10339,62.9822,No Data, No Data,33.50627,-100,
12739,65.53069,63.0025,No Data, No Data,33.4859,-100,
12782,64.47012,63.0848,No Data, No Data,33.40364,-100,
12825,66.46999,63.146,No Data, No Data,33.34243,-100,
12868,64.65566,63.2103,No Data, No Data,33.2781,-100,
12911,65.39896,63.2833,No Data, No Data,33.20509,-100,
12954,64.21278,63.3071,No Data, No Data,33.18131,-100,
12997,65.03416,63.3788,No Data, No Data,33.10965,-100,
