Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 92.0919251 dB SPL
7407,97.1238696,97.104892,No Data,No Data,20.76606,-75.2401274,
7493,96.2570298,96.2382856,No Data,No Data,21.6326658,-72.721997,
7579,95.4459274,95.4268004,No Data,No Data,22.4441514,-69.657039,
7665,94.6800614,94.6597214,No Data,No Data,23.2112306,-73.0100832,
7751,93.9486648,93.9296188,No Data,No Data,23.941333,-71.6646194,
7837,93.5987776,93.579677,No Data,No Data,24.2912752,-71.8127762,
7923,92.9126754,92.8936538,No Data,No Data,24.9772978,-70.4506804,
8009,92.249939,92.231221,No Data,No Data,25.6397308,-67.5668474,
8095,91.6138166,91.5951384,No Data,No Data,26.2758132,-67.5889602,
8181,91.0036802,90.9841888,No Data,No Data,26.886763,-71.752478,
8267,90.707895,90.6894076,No Data,No Data,27.1815444,-72.4424088,
8353,90.1422442,90.1229428,No Data,No Data,27.7480086,-80.93219,
8439,89.6121842,89.5930756,No Data,No Data,28.2778762,-68.7253764,
8525,89.1147948,89.0967852,No Data,No Data,28.774167,-71.1238008,
8611,88.6156476,88.596747,No Data,No Data,29.274205,-69.0647676,
8697,88.370465,88.3513108,No Data,No Data,29.5196412,-67.8853226,
8783,87.9029986,87.8834592,No Data,No Data,29.9874922,-68.4842636,
8869,87.4739836,87.455304,No Data,No Data,30.4156478,-66.7814746,
8955,87.0825976,87.0629198,No Data,No Data,30.8080324,-66.6230308,
9041,86.7238954,86.705081,No Data,No Data,31.1658704,-69.2659678,
9127,86.5580308,86.5383758,No Data,No Data,31.332576,-66.2057472,
9213,86.2531264,86.2329956,No Data,No Data,31.6379562,-67.084568,
9299,85.9788604,85.9592008,No Data,No Data,31.9117508,-64.106662,
9385,85.7489092,85.7304868,No Data,No Data,32.1404646,-63.7792526,
9471,85.5464338,85.5265644,No Data,No Data,32.3443878,-69.9439528,
9557,85.4634338,85.443895,No Data,No Data,32.4270566,-64.1564148,
9643,85.3167296,85.2978424,No Data,No Data,32.5731092,-66.257319,
9729,85.2066498,85.187662,No Data,No Data,32.6832902,-69.8834144,
9815,85.1334076,85.114023,No Data,No Data,32.7569292,-64.913788,
9901,85.0958404,85.077452,No Data,No Data,32.7934998,-68.8361474,
9987,85.095781,85.0765622,No Data,No Data,32.7943892,-64.7657724,
10073,85.1112548,85.0928392,No Data,No Data,32.7781128,-63.855938,
10159,85.1686034,85.148761,No Data,No Data,32.722191,-63.5999908,
10245,85.2588136,85.2398866,No Data,No Data,32.6310654,-64.1826538,
10331,85.3903166,85.3721908,No Data,No Data,32.498761,-64.6776604,
10417,85.467624,85.447336,No Data,No Data,32.423616,-62.3932702,
10503,85.6467346,85.628874,No Data,No Data,32.2420776,-69.336824,
10589,85.858568,85.8391204,No Data,No Data,32.0318312,-69.2642226,
10675,86.0975952,86.0796842,No Data,No Data,31.7912674,-66.4022324,
10761,86.356633,86.33696,No Data,No Data,31.5339922,-69.6999026,
10847,86.4918472,86.4725218,No Data,No Data,31.3984298,-69.9847618,
