Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 73.248536 dB SPL
7407,77.9641234,77.9352724,No Data,No Data,21.6778748,-53.8234278,
7493,77.0750794,77.0546188,No Data,No Data,22.5585282,-54.3084894,
7579,76.258743,76.2385422,No Data,No Data,23.374605,-56.3327928,
7665,75.5153336,75.4903654,No Data,No Data,24.1227814,-51.8322258,
7751,74.8066696,74.7784408,No Data,No Data,24.8347062,-51.1424598,
7837,74.471408,74.4393586,No Data,No Data,25.1737884,-52.3652962,
7923,73.8363236,73.8028412,No Data,No Data,25.8103058,-52.6687822,
8009,73.2461902,73.2170196,No Data,No Data,26.3961274,-52.9470694,
8095,72.6696212,72.6401412,No Data,No Data,26.9730056,-50.3772804,
8181,72.2122574,72.0920152,No Data,No Data,27.5211318,-53.8008726,
8267,71.8978788,71.8686754,No Data,No Data,27.7444716,-51.1717538,
8353,71.4048524,71.3720506,No Data,No Data,28.2410966,-54.9572336,
8439,70.979744,70.9510482,No Data,No Data,28.6620988,-50.895278,
8525,70.5779906,70.5434326,No Data,No Data,29.0697146,-53.0335916,
8611,70.5953202,70.135942,No Data,No Data,29.4772048,-56.0891554,
8697,69.987837,69.9430848,No Data,No Data,29.6700624,-48.7332124,
8783,69.5898712,69.546678,No Data,No Data,30.0664688,-49.5010284,
8869,69.2451524,69.1971162,No Data,No Data,30.416031,-52.2437598,
8955,68.9769852,68.9245178,No Data,No Data,30.688629,-45.5371926,
9041,68.6985078,68.648497,No Data,No Data,30.96465,-48.7332954,
9127,68.5517732,68.5068346,No Data,No Data,31.1063126,-45.086416,
9213,68.31745,68.2645674,No Data,No Data,31.3485792,-50.3688338,
9299,68.117694,68.044336,No Data,No Data,31.568811,-45.942019,
9385,67.9666976,67.9143402,No Data,No Data,31.6988068,-49.031816,
9471,67.8064238,67.754222,No Data,No Data,31.8589248,-48.6392472,
9557,67.729242,67.674495,No Data,No Data,31.9386522,-45.3857978,
9643,67.6491592,67.5974746,No Data,No Data,32.0156722,-44.3052476,
9729,67.5616592,67.5152724,No Data,No Data,32.0978742,-49.4253136,
9815,67.5521832,67.4962038,No Data,No Data,32.1169436,-48.1799316,
9901,67.5242784,67.4674804,No Data,No Data,32.1456664,-42.4970362,
9987,67.5186588,67.4795622,No Data,No Data,32.1335844,-46.619564,
10073,67.5691406,67.5036668,No Data,No Data,32.1094802,-45.681688,
10159,67.6528242,67.5868286,No Data,No Data,32.0263184,-48.1859702,
10245,68.1640058,67.6782104,No Data,No Data,31.9349362,-45.5288124,
10331,67.8622038,67.8018326,No Data,No Data,31.8113144,-48.9104348,
10417,67.9469574,67.8901322,No Data,No Data,31.7230148,-46.022126,
10503,68.1094956,68.0472274,No Data,No Data,31.5659194,-53.3098372,
10589,68.3019762,68.2476226,No Data,No Data,31.3655244,-45.7660364,
10675,68.508531,68.4495728,No Data,No Data,31.1635742,-50.5007402,
10761,68.724925,68.6789032,No Data,No Data,30.9342438,-49.1205398,
10847,68.8123642,68.7704526,No Data,No Data,30.8426942,-51.9297256,
10933,69.0531938,69.0223268,No Data,No Data,30.5908204,-48.4475886,
11019,69.2222946,69.1800688,No Data,No Data,30.4330778,-49.9931382,
11105,69.3740128,69.3294906,No Data,No Data,30.2836566,-47.7792076,
11191,69.462349,69.4182158,No Data,No Data,30.194931,-48.354099,
11277,69.4616592,69.4172622,No Data,No Data,30.1958848,-47.6449562,
11363,69.4363388,69.3932816,No Data,No Data,30.2198654,-53.7936996,
11449,69.2375506,69.1980042,No Data,No Data,30.4151428,-49.687249,
11535,68.963269,68.9221772,No Data,No Data,30.69097,-48.2145386,
11621,68.565773,68.5169234,No Data,No Data,31.0962234,-53.1433624,
11707,68.062985,67.999051,No Data,No Data,31.614096,-56.610102,
11793,67.8158372,67.7633406,No Data,No Data,31.8498062,-50.9850014,
11879,67.2897734,67.2238314,No Data,No Data,32.3893158,-57.2297136,
11965,66.7427978,66.6807632,No Data,No Data,32.9323838,-55.4536216,
12051,66.264705,66.0628294,No Data,No Data,33.5503174,-50.543975,
12137,65.655127,65.4207396,No Data,No Data,34.1924072,-55.0403312,
12223,65.2831496,65.0761826,No Data,No Data,34.5369642,-100,
12309,64.5564024,64.4478784,No Data,No Data,35.1652688,-100,
12395,64.0119224,63.8049844,No Data,No Data,35.8081628,-100,
12481,63.3508164,63.2662888,No Data,No Data,36.3468584,-100,
12567,62.8095834,62.648619,No Data,No Data,36.964528,-100,
12653,62.5571228,62.4385888,No Data,No Data,37.1745584,-100,
12739,62.0286674,61.8634474,No Data,No Data,37.7496994,-100,
12825,61.5205512,61.3690338,No Data,No Data,38.244113,-100,
12911,61.2857622,60.9533378,No Data,No Data,38.659809,-100,
12997,60.7982804,60.6131484,No Data,No Data,38.9999984,-100,
